ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24987    0.064    0.000    0.064    0.000 {built-in method pygame.draw.circle}
   502956    0.054    0.000    0.054    0.000 {built-in method math.sin}
      573    0.008    0.000    0.054    0.000 nonaga_logic.py:129(get_all_valid_piece_moves_ai)
   502956    0.053    0.000    0.053    0.000 {built-in method math.cos}
       31    0.000    0.000    0.049    0.002 <frozen importlib._bootstrap_external>:1089(get_code)
   241804    0.048    0.000    0.048    0.000 {built-in method builtins.abs}
        3    0.000    0.000    0.045    0.015 __init__.py:1(<module>)
     4514    0.043    0.000    0.043    0.000 {method 'blit' of 'pygame.surface.Surface' objects}
   292553    0.043    0.000    0.043    0.000 {method 'getrandbits' of '_random.Random' objects}
       32    0.000    0.000    0.042    0.001 <frozen importlib._bootstrap_external>:1210(get_data)
   192119    0.040    0.000    0.040    0.000 {method 'bit_length' of 'int' objects}
      317    0.005    0.000    0.040    0.000 game_window.py:283(_handle_mouse_motion)
      237    0.005    0.000    0.040    0.000 nonaga_logic.py:150(get_all_valid_piece_moves)
       32    0.038    0.001    0.038    0.001 {built-in method _io.open_code}
   192693    0.038    0.000    0.038    0.000 nonaga_logic.py:296(switch_player)
     4283    0.003    0.000    0.036    0.000 <frozen ntpath>:261(dirname)
   210702    0.034    0.000    0.034    0.000 {built-in method builtins.round}
     4284    0.018    0.000    0.032    0.000 <frozen ntpath>:222(split)
   196214    0.031    0.000    0.031    0.000 nonaga_board.py:311(get_island_id)
     3462    0.013    0.000    0.029    0.000 game_window.py:345(_point_in_hexagon)
   217627    0.028    0.000    0.028    0.000 {built-in method math.sqrt}
    66/62    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    28/26    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1314(create_module)
    28/26    0.018    0.001    0.020    0.001 {built-in method _imp.create_dynamic}
    22616    0.019    0.000    0.019    0.000 {method 'difference_update' of 'set' objects}
     4282    0.010    0.000    0.015    0.000 <frozen ntpath>:99(join)
     4514    0.012    0.000    0.012    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
    18138    0.012    0.000    0.012    0.000 nonaga_board.py:53(get_pieces)
       71    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       64    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1547(find_spec)
       64    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1518(_get_spec)
      126    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1620(find_spec)
     3462    0.006    0.000    0.009    0.000 game_window.py:372(_point_in_polygon)
        1    0.000    0.000    0.008    0.008 AI.py:1(<module>)
    12848    0.008    0.000    0.008    0.000 {built-in method nt._path_splitroot_ex}
      230    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      230    0.007    0.000    0.007    0.000 {built-in method nt.stat}
    18846    0.004    0.000    0.005    0.000 nonaga_board.py:128(get_number_of_tiles)
     4284    0.002    0.000    0.004    0.000 <frozen ntpath>:34(_get_bothseps)
     4363    0.002    0.000    0.004    0.000 nonaga_logic.py:31(get_board_state)
     4282    0.004    0.000    0.004    0.000 {built-in method nt._path_normpath}
      702    0.004    0.000    0.004    0.000 {built-in method pygame.draw.rect}
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:778(_compile_bytecode)
     5912    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     8092    0.003    0.000    0.003    0.000 {method 'get_width' of 'pygame.surface.Surface' objects}
        1    0.000    0.000    0.003    0.003 sysfont.py:1(<module>)
       30    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
       69    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 queue.py:1(<module>)
      522    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
       65    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       32    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     4045    0.002    0.000    0.003    0.000 game_window.py:163(handle_moves)
        1    0.000    0.000    0.003    0.003 sprite.py:1(<module>)
    19331    0.003    0.000    0.003    0.000 nonaga_logic.py:292(get_current_player)
    24750    0.002    0.000    0.002    0.000 nonaga_board.py:366(get_color)
    26782    0.002    0.000    0.002    0.000 nonaga_board.py:132(get_all_tiles)
     8687    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
     4363    0.002    0.000    0.002    0.000 nonaga_board.py:60(get_state)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1234(_cache_bytecode)
    20939    0.002    0.000    0.002    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1239(set_data)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:200(_write_atomic)
        1    0.000    0.000    0.002    0.002 game_window.py:12(__init__)
      173    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method nt.replace}
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 freetype.py:1(<module>)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
       71    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.001    0.001 nonaga_logic.py:10(__init__)
        1    0.000    0.000    0.001    0.001 nonaga_board.py:7(__init__)
        1    0.000    0.000    0.001    0.001 nonaga_board.py:96(__init__)
       65    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       66    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1081(source_to_code)
        1    0.001    0.001    0.001    0.001 {built-in method builtins.compile}
        6    0.000    0.000    0.001    0.000 __init__.py:287(compile)
        6    0.000    0.000    0.001    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.001    0.001 nonaga_board.py:162(add_pieces)
        6    0.000    0.000    0.001    0.000 nonaga_board.py:155(add_piece)
       62    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        6    0.000    0.000    0.001    0.000 _compiler.py:738(compile)
     8675    0.001    0.000    0.001    0.000 nonaga_logic.py:253(get_current_turn_phase)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
     4046    0.001    0.000    0.001    0.000 {method 'get_height' of 'pygame.surface.Surface' objects}
     4713    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        5    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       90    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
     4282    0.001    0.000    0.001    0.000 pkgdata.py:28(resource_exists)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1229(path_stats)
       34    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:638(_get_cached)
     3867    0.001    0.000    0.001    0.000 nonaga_board.py:172(get_movable_tiles)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 AI.py:112(load_parameters)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1615(_get_spec)
        6    0.000    0.000    0.000    0.000 _parser.py:970(parse)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1671(_fill_cache)
       95    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:829(spec_from_file_location)
     13/6    0.000    0.000    0.000    0.000 _parser.py:451(_parse_sub)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.000    0.000 sndarray.py:1(<module>)
     15/6    0.000    0.000    0.000    0.000 _parser.py:511(_parse)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.000    0.000 surfarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgdata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        2    0.000    0.000    0.000    0.000 nonaga_logic.py:217(move_piece)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
        2    0.000    0.000    0.000    0.000 nonaga_logic.py:209(move_tile)
        6    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1496(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 {built-in method nt.open}
        2    0.000    0.000    0.000    0.000 enum.py:887(_convert_)
        3    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1483(_path_hooks)
        1    0.000    0.000    0.000    0.000 nonaga_board.py:148(add_tiles)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
     1846    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
        3    0.000    0.000    0.000    0.000 {built-in method pygame.display.set_caption}
       81    0.000    0.000    0.000    0.000 menu_window.py:53(update_hover)
     25/6    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.chdir}
        2    0.000    0.000    0.000    0.000 enum.py:1738(convert_class)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
     1230    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:693(_classify_pyc)
       83    0.000    0.000    0.000    0.000 {method 'collidepoint' of 'pygame.rect.Rect' objects}
        3    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      586    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:650(_calc_mode)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1712(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
       71    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      144    0.000    0.000    0.000    0.000 menu_window.py:32(<genexpr>)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      364    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       14    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
      173    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        6    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1322(exec_module)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:726(_validate_timestamp_pyc)
        4    0.000    0.000    0.000    0.000 enum.py:1581(__or__)
      631    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.000    0.000 nonaga_board.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cursors.py:1(<module>)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       10    0.000    0.000    0.000    0.000 enum.py:691(__call__)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       10    0.000    0.000    0.000    0.000 enum.py:1145(__new__)
       62    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      347    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       58    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      443    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 typing.py:426(inner)
      443    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 fastevent.py:1(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:1444(_missing_)
        2    0.000    0.000    0.000    0.000 menu_window.py:65(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 typing.py:1207(_generic_class_getitem)
       19    0.000    0.000    0.000    0.000 nonaga_board.py:136(_add_tile)
      346    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      123    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
        1    0.000    0.000    0.000    0.000 colordict.py:1(<module>)
      173    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1350(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1594(__init__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:791(_code_to_timestamp_pyc)
    31/12    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
       71    0.000    0.000    0.000    0.000 _parser.py:260(get)
       28    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 <frozen os>:1153(add_dll_directory)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:756(Popen)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        6    0.000    0.000    0.000    0.000 enum.py:1592(__and__)
        2    0.000    0.000    0.000    0.000 enum.py:489(__new__)
        7    0.000    0.000    0.000    0.000 enum.py:1434(_iter_member_by_def_)
      259    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       64    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 nonaga_logic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:1423(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
       16    0.000    0.000    0.000    0.000 _parser.py:311(_class_escape)
        1    0.000    0.000    0.000    0.000 <frozen os>:719(__setitem__)
        7    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 menu_window.py:1(<module>)
       65    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        6    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
        1    0.000    0.000    0.000    0.000 cProfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       30    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      126    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       70    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      102    0.000    0.000    0.000    0.000 _parser.py:239(__next)
       30    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        6    0.000    0.000    0.000    0.000 cursors.py:57(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:339(decode)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       92    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       71    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      134    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       14    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        6    0.000    0.000    0.000    0.000 menu_window.py:6(__init__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001ECE01F00E0}
        4    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 threading.py:869(__init__)
       30    0.000    0.000    0.000    0.000 enum.py:1574(_get_value)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
       15    0.000    0.000    0.000    0.000 enum.py:818(__setattr__)
        2    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       25    0.000    0.000    0.000    0.000 nonaga_board.py:337(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        3    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:815(__contains__)
       79    0.000    0.000    0.000    0.000 _parser.py:255(match)
       19    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
      8/5    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
       52    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
       33    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       38    0.000    0.000    0.000    0.000 _parser.py:292(tell)
        1    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:620(set)
        2    0.000    0.000    0.000    0.000 menu_window.py:42(is_clicked)
        1    0.000    0.000    0.000    0.000 nonaga_constants.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
        7    0.000    0.000    0.000    0.000 typing.py:1368(__setattr__)
        9    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
        1    0.000    0.000    0.000    0.000 nonaga_logic.py:7(NonagaLogic)
        7    0.000    0.000    0.000    0.000 enum.py:1424(_iter_member_by_value_)
        1    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
        1    0.000    0.000    0.000    0.000 sprite.py:729(LayeredUpdates)
       45    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 queue.py:40(Queue)
       25    0.000    0.000    0.000    0.000 _parser.py:175(append)
        1    0.000    0.000    0.000    0.000 game_window.py:9(Game)
        1    0.000    0.000    0.000    0.000 sprite.py:99(Sprite)
        6    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        1    0.000    0.000    0.000    0.000 sprite.py:363(AbstractGroup)
        2    0.000    0.000    0.000    0.000 __init__.py:56(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:350(raw_decode)
        4    0.000    0.000    0.000    0.000 <frozen os>:785(encodekey)
        1    0.000    0.000    0.000    0.000 queue.py:300(LifoQueue)
        6    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       11    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
        1    0.000    0.000    0.000    0.000 threading.py:449(Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:858(Thread)
